,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
0,A,16.78,2008-12-19,248323864.00000003,A,29.6,2009-12-21,93198560.0
1,A,29.6,2009-12-21,93198560.0,A,40.65,2010-12-21,146961945.0
2,A,40.1,2010-12-20,161350370.0,A,33.99,2011-12-20,124797684.0
3,A,33.73,2011-12-16,105332043.99999999,A,39.98,2012-12-17,138114908.0
4,A,40.58,2012-12-20,154557046.0,A,57.47,2013-12-20,169766380.0
5,A,57.57,2013-12-19,108991524.0,A,40.9,2014-12-19,152816142.4
6,A,41.38,2014-12-22,65803344.980000004,A,41.01,2015-12-22,67386483.72
7,A,40.51,2015-12-21,70291291.09,A,45.75,2016-12-20,71020744.5
8,A,45.75,2016-12-20,71020744.5,A,67.81,2017-12-20,92424826.57000001
9,A,67.51,2017-12-21,100936631.36000001,A,65.22,2018-12-21,305431782.0
10,A,66.33,2018-12-20,235326502.62,A,84.94,2019-12-20,194325137.42
11,AA,37.87,2017-02-03,198560173.35,AA,48.61,2018-02-05,187720153.6
12,AA,47.42,2018-02-26,168519062.1,AA,30.7,2019-02-26,114315502.39999999
13,AAC,8.95,2017-03-07,1144687.0999999999,AAC,10.02,2018-03-07,2078638.98
14,AAL,5.65,2010-01-20,201296019.10000002,AAL,9.98,2011-01-20,194291608.06
15,AAL,10.15,2011-02-16,131560869.30000001,AAL,8.85,2012-02-16,158199086.54999998
16,AAL,9.05,2012-02-15,126292388.00000001,AAL,14.94,2013-02-14,1276905380.94
17,AAL,15.96,2013-04-16,447487597.20000005,AAL,34.17,2014-04-16,534220614.0
18,AAL,36.11,2014-02-28,288511678.0,AAL,48.2,2015-03-02,553475828.2
19,AAL,51.3,2015-02-25,491301382.5,AAL,40.76,2016-02-25,282729172.12
20,AAL,40.02,2016-02-24,244269793.86,AAL,46.42,2017-02-23,243565043.70000002
21,AAL,46.5,2017-02-22,269683539.0,AAL,53.24,2018-02-22,231794182.4
22,AAL,51.96,2018-02-21,278943674.76,AAL,34.98,2019-02-21,206408025.11999997
23,AAMC,930.65,2014-02-20,89714660.0,AAMC,202.58,2015-02-20,431900.56
24,AAMC,184.55,2015-03-02,2518184.75,AAMC,17.03,2016-03-01,131965.47
25,AAMC,17.37,2016-02-29,28660.5,AAMC,69.6,2017-02-28,676999.2
26,AAMC,71.3,2017-03-01,237571.59999999998,AAMC,68.55,2018-03-01,97683.75
